id,code,name,unit,brand,unit_price
51,M.51,Fondasi pasangan batu,m3,,286500.0
52,M.52,GRC Pelat t=4 mm uk 122x244 cm,lembar,,200000.0
53,M.53,Paku,kg,,20000.0
54,M.54,Asbes gelombang,lembar,,62400.0
55,M.55,Paku asbes,kg,,21000.0
56,M.56,Floor lantai (Beton lantai kerja),m3,,805600.0
57,M.57,Pintu Double teakwood rangka kayu,m2,,150000.0
58,M.58,Frame besi kaca nako,daun,,400000.0
59,M.59,cat dinding,m2,,25000.0
60,M.60,Agg Pokok,m3,,350000.0
61,M.61,Agg Pengunci,m3,,360000.0
62,M.62,Agg Penutup,kg,,370000.0
63,M.63,Aspal,kg,,1200.0
64,M.64,Paku payung,kg,,35590.0
65,M.65,Kayu papan 3/20 cm,m3,,2825000.0
66,M.66,Paku 2 inch,kg,,18000.0
67,M.67,Pen Kuningan titik acuan,buah,,27000.0
68,M.68,Marmer Graphir 10x10 cm,bauh,,20000.0
69,M.69,Marmer Graphir 12x12 cm,bh,,25000.0
70,M.70,Pasir urug (quarry - lokasi pekerjaan),m3,,254700.0
71,M.71,Tanah biasa (quarry - lokasi pekerjaan),m3,,146900.0
72,M.72,Tanah liat (quarry-lokasi pekerjaan),m3,,160000.0
73,M.73,Tanah Subur,m3,,165000.0
74,M.74,Sirtu (quarry - lokasi pekerjaan),m3,,261800.0
75,M.75,batu pecah 5/7,m3,,351800.0
76,M.76,Geotextile >100 gr/m2,m2,,17500.0
77,M.77,Geotextile >400 gr/m2,m2,,21000.0
78,M.78,Geotextile >800 gr/m2,m2,,32000.0
79,M.79,Geomembran,m2,,18950.0
80,M.80,Geosynthetic Clay Liner,m2,,25000.0
81,M.81,Bentonite,kg,,25000.0
82,M.82,Angkur M16,buah,,18500.0
83,M.83,Cuka bibit,liter,,50000.0
84,M.84,"Baja ringan C75 x 0,75 mm",batang,,77200.0
85,M.85,"Baja ringan C75 x 0,75 mm (permeter)",m,,12866.666666666666
86,M.86,Paku Rivet,buah,,200.0
87,M.87,Reng Baja Ringan,m,,33900.0
88,M.88,Kayu balok 6/12 kelas II,m3,,11950000.0
89,M.89,Besi strip tebal 5 mm,kg,,7500.0
90,M.90,Paku 12 cm,kg,,1500.0
91,M.91,Kayu balok 6/12 kelas I,m3,,25000000.0
92,M.92,Reng 2x3 cm,m3,,8750000.0
93,M.93,Paku 5 dan 10 cm,kg,,20000.0
94,M.94,Reng 3x4 cm,m3,,9302000.0
95,M.95,Kayu balok 6/15 kelas II (batang),batang,,414000.0
96,M.96,Paku 4 inch,kg,,19000.0
97,M.97,Baja Tulangan Polos (BjTP) diameter < 12 mm,kg,,14250.0
98,M.98,Kawat beton,kg,,18800.0
99,M.99,Baja Tulangan Sirip (BjTS) diameter < 12 mm,kg,,14500.0
100,M.100,Baja Tulangan Polos (BjTP) diameter >12 mm,kg,,16000.0
101,M.101,Baja Tulangan Sirip (BjTS) diameter >12 mm,kg,,16500.0
102,M.102,Wiremesh M6,kg,,11522.0
103,M.103,Waterstop lebar 150 mm,m',,75000.0
104,M.104,Waterstop lebar 200 mm,m',,94000.0
105,M.105,Waterstop lebar 250 mm,m',,136000.0
106,M.106,Kayu papan kelas III,m3,,8000000.0
107,M.107,Minyak bekisting,liter,,16800.0
108,M.108,Plywood 12 mm,lembar,,167300.0
109,M.109,Formtie/penjaga jarak bekesting/spacer,buah,,7000.0
110,M.110,Batu split 2/3,kg,,260.962962962963
111,M.111,Fly ash,kg,,600.0
112,M.112,Strorox-100,kg,,40000.0
113,M.113,Adukan beton K-275 ready mix,m3,,937100.0
114,M.114,Terpal,m2,,12000.0
115,M.115,Karung goni,m2,,14500.0
116,M.116,BjTP,kg,,14250.0
117,M.117,Pasir beton (quarry - lokasi pekerjaan),m3,,370200.0
118,M.118,Batu split 1/2,m3,,370200.0
119,M.119,Semen grout,kg,,6000.0
120,M.120,Epoxy resin grout,kg,,216700.0
121,M.121,Batu belah (quarry - lokasi pekerjaan),m3,,286500.0
122,M.122,Pasir pasang (quarry - lokasi pekerjaan),m3,,275000.0
123,M.123,Agregat kasar,kg,,285.18518518518516
124,M.124,Kawat Las,kg,,45550.0
125,M.125,Baja Profil,kg,,16480.0
126,M.126,Besi angkur/mur/baut,kg,,16660.0
127,M.127,Baut,Kg,,17000.0
128,M.128,Besi plat baja tebal 2 mm,kg,,25000.0
129,M.129,Baja Profil Siku,kg,,15500.0
130,M.130,Lantai kerja,m3,,805000.0
131,M.131,Besi hollow  50.50.3,kg,,13800.0
132,M.132,Phenol film 12mm,lembar,,230000.0
133,M.133,Dinabolt dia. 12mm (10-15 cm),buah,,4550.0
134,M.134,Papan Cor,m3,,2500000.0
135,M.135,BjTS,kg,,14500.0
136,M.136,"Bambu panjang 4,5 m",batang,,14500.0
137,M.137,Anyaman Bambu,lembar,,50000.0
138,M.138,Kawat bendrat,kg,,18800.0
139,M.139,"Pipa PVC dia. 1""",m',,11250.0
140,M.140,Ijuk,kg,,7000.0
141,M.141,Geotekstil woven 400 gr/m2,m2,,25000.0
142,M.142,"Pipa PVC dia. 2""",m',,26000.0
143,M.143,Batu,m3,,97500.0
144,M.144,Kawat  bronjong,kg,,15680.0
145,M.145,"Bronjong kawat  pabrikan Uk.2x1x0,5 ø  3mm mesh 8x10",buah,,460000.0
146,M.146,Genteng palentong,buah,,2800.0
147,M.147,Genteng kodok glazuur,buah,,5800.0
148,M.148,Genteng palentong super,buah,,5300.0
149,M.149,Genteng beton,buah,,6800.0
150,M.150,Bubung genteng palentong,buah,,10700.0
151,M.151,Bubung genteng kodok,buah,,8600.0
152,M.152,Nok genteng beton,buah,,9600.0
153,M.153,Paku 1 inch,kg,,15000.0
154,M.154,Semen warna,kg,,7800.0
155,M.155,"Asbes gelombang besar 5 mm, 250x92 cm",lembar,,113400.0
156,M.156,Paku pancing 6x23,kg,,19460.0
157,M.157,"Asbes gelombang besar 5 mm, 225x92 cm",lembar,,104900.0
158,M.158,"Asbes gelombang besar 5 mm, 200x92 cm",lembar,,94000.0
159,M.159,"Asbes gelombang besar 5 mm, 180x92 cm",lembar,,85500.0
160,M.160,"Asbes gelombang kecil 4 mm, 270x105 cm",lembar,,88400.0
161,M.161,"Asbes gelombang besar 5 mm, 300x105 cm",lembar,,135000.0
162,M.162,"Asbes gelombang besar 5 mm, 240x105 cm",lembar,,130000.0
163,M.163,"Asbes gelombang besar 5 mm, 210x105 cm",lembar,,125000.0
164,M.164,"Asbes gelombang besar 5 mm, 150x105 cm",lembar,,120000.0
165,M.165,"Asbes gelombang besar 6 mm, 300x108 cm",lembar,,131000.0
166,M.166,"Asbes gelombang besar 6 mm, 270x108 cm",lembar,,113400.0
167,M.167,"Asbes gelombang besar 6 mm, 240x108 cm",lembar,,99600.0
168,M.168,"Asbes gelombang besar 6 mm, 210x108 cm",lembar,,92900.0
169,M.169,"Asbes gelombang besar 6 mm, 180x108 cm",lembar,,93000.0
170,M.170,Nok stel gelombang 92 cm,lembar,,60000.0
171,M.171,Paku sekrup,kg,,30090.0
172,M.172,Nok stel gelombang 105 cm,lembar,,70000.0
173,M.173,Nok stel gelombang 108 cm,lembar,,80000.0
174,M.174,Nok paten 92 cm,lembar,,65000.0
175,M.175,Nok paten 105 cm,lembar,,70000.0
176,M.176,Nok paten 108 cm,lembar,,75000.0
177,M.177,Nok setel rata 92 cm,lembar,,70000.0
178,M.178,Nok setel rata 105 cm,lembar,,75000.0
179,M.179,Nok setel rata 108 cm,lembar,,80000.0
180,M.180,Seng Gelombang 105 cm x 180 cm,lembar,,85000.0
181,M.181,Aluminium gelombang 95x180 cm,lembar,,180400.0
182,M.182,Sirap kayu,buah,,5000.0
183,M.183,Roof light fiberglass,lembar,,116300.0
184,M.184,Atap UPVC uk. 86x119 cm,m2,,200000.0
185,M.185,Paku sekrup (buah),buah,,1600.0
186,M.186,Genteng aspal 80x100 cm,buah,,149700.0
187,M.187,Plywood 6 mm,lembar,,84200.0
188,M.188,Plastik aerator,buah,,15900.0
189,M.189,Atap metal lembaran,m2,,112500.0
190,M.190,Atap metal menerus,m2,,80000.0
191,M.191,Kaca tempered 12 mm,m2,,600000.0
192,M.192,Sealant,tube,,33100.0
193,M.193,Seng Pelat  90x180 cm bjls 28,lembar,,72200.0
194,M.194,Nok standar,lembar,,67000.0
195,M.195,Nok genteng aspal,buah,,95000.0
196,M.196,Kayu Balok Borneo,m3,,2700000.0
197,M.197,Nok genteng metal,buah,,25600.0
198,M.198,Aluminium foil double side,m2,,11000.0
199,M.199,Glasswool tebal 8 cm,m2,,29167.0
200,M.200,Kawat harmonika,m2,,34620.0
201,M.201,Insulasi foam,m2,,70000.0
202,M.202,Talang datar/jurai seng lebar 90cm,m3,,75000.0
203,M.203,Talang Seng 1/2 lingkaran diameter 15cm,m,,133000.0
204,M.204,Besi strip (20x3) mm,kg,,17250.0
205,M.205,Kayu papan kelas II,m3,,14000000.0
206,M.206,Listplank GRC lebar 30 cm,m',,23000.0
207,M.207,Listplank GRC lebar 20 cm,m',,21000.0
208,M.208,Membran Bakar,m',,150000.0
209,M.209,Cairan Primer,kg,,57500.0
210,M.210,Waterproofing Cristalin,kg,,62000.0
211,M.211,Waterproofing Semen Base,kg,,74500.0
212,M.212,Waterproofing Acrylic Base,kg,,64000.0
213,M.213,Plafon akustik 30x30 cm,lembar,,6200.0
214,M.214,Plafon akustik 30x60 cm,lembar,,13900.0
215,M.215,Plafon akustik 60x120 cm,lembar,,24000.0
216,M.216,Profil Aluminium ”T”,m',,15000.0
217,M.217,Kawat Ø 4 mm,kg,,35000.0
218,M.218,Ramset,buah,,3200.0
219,M.219,Gypsum board (120 cm x 240 cm x 9 mm),lembar,,70000.0
220,M.220,Papan semen,m2,,45000.0
221,M.221,Plywood 3 mm,lembar,,62500.0
222,M.222,Paku Tripleks,kg,,17500.0
223,M.223,Kayu papan tebal 9 mm,m3,,4750000.0
224,M.224,List kayu profil,m',,5000.0
225,M.225,List gypsum profil,m',,15800.0
226,M.226,Aluminium spandrel 10x600 cm,lembar,,200000.0
227,M.227,Besi hollow galvanis 40.40,m',,6250.0
228,M.228,Paku 7 - 10 cm,kg,,20000.0
229,M.229,HB-20,buah,,13000.0
230,M.230,Besi angkur diameter 8,kg,,35000.0
231,M.231,HB-15,buah,,12000.0
232,M.232,HB-10,buah,,12000.0
233,M.233,Bata rooster,buah,,15000.0
234,M.234,Bata Berongga Uk. 12x11x24,buah,,15000.0
235,M.235,Glass block 20x20 cm,buah,,2500.0
236,M.236,Mortar siap pakai,kg,,1850.0
237,M.237,Bata ringan tebal 20 cm,buah,,14933.0
238,M.238,Batako 20x40x10 cm,buah,,3000.0
239,M.239,Gypsum Board (122 cm x  244 cm x  12 mm),buah,,96000.0
240,M.240,Rockwool tebal 50 mm,kg,,290000.0
241,M.241,Compound gypsum,kg,,3500.0
242,M.242,Serbuk batu granit,kg,,12000.0
243,M.243,Serbuk batu traso,kg,,13000.0
244,M.244,Mortar Skimcoat,kg,,5070.0
245,M.245,Soda api,kg,,17900.0
246,M.246,Sabun,kg,,19400.0
247,M.247,Cairan perontok karat,kg,,20000.0
248,M.248,Meni kayu,kg,,34500.0
249,M.249,Plamir kayu,kg,,30100.0
250,M.250,Cat dasar (cat kayu),kg,,38200.0
251,M.251,Cat penutup (cat kayu),kg,,58500.0
252,M.252,Kuas 3 inch,buah,,10400.0
253,M.253,Pengencer cat kayu/besi,kg,,20000.0
254,M.254,Amplas,lembar,,3900.0
255,M.255,Teak oil,liter,,29200.0
256,M.256,Pelitur,liter,,73700.0
257,M.257,Pelitur jadi,liter,,66200.0
258,M.258,Vernis,liter,,44500.0
259,M.259,Dempul,kg,,33500.0
260,M.260,Cat dasar (cat tembok interior),kg,,119100.0
261,M.261,Cat penutup (cat tembok interior),kg,,130500.0
262,M.262,Cat dasar (cat tembok eksterior),kg,,128500.0
263,M.263,Cat penutup (cat tembok eksterior),kg,,136600.0
264,M.264,Kapur padam,kg,,7000.0
265,M.265,Alang-alang,ikat,,30000.0
266,M.266,Cat dasar (cat besi),kg,,52300.0
267,M.267,Cat antara (cat besi),kg,,49700.0
268,M.268,Cat penutup (cat besi),kg,,54700.0
269,M.269,Meni besi,kg,,39700.0
270,M.270,Perancah kayu,m3,,2500000.0
271,M.271,Cat Dasar Plafond,kg,,128500.0
272,M.272,Cat Plafond Eksterior,kg,,119100.0
273,M.273,Cat epoxy,kg,,30000.0
274,M.274,Wood filler,kg,,53000.0
275,M.275,Woodstain,kg,,87000.0
276,M.276,Sanding,kg,,90000.0
277,M.277,Melamic,kg,,60000.0
278,M.278,Thinner,liter,,21800.0
279,M.279,Ubin PC abu-abu 20x20 cm,buah,,2000.0
280,M.280,Ubin PC abu-abu 30x30 cm,buah,,3400.0
281,M.281,Ubin PC abu-abu 40x40 cm,buah,,4600.0
282,M.282,Ubin PC abu-abu 60x60 cm,buah,,6000.0
283,M.283,Plint ubin PC abu-abu uk. 10-15x20 cm,buah,,1000.0
284,M.284,Plint ubin PC abu-abu uk. 10-15x30 cm,buah,,1500.0
285,M.285,Plint ubin PC abu-abu uk. 10-15x40 cm,buah,,2000.0
286,M.286,Plint ubin PC abu-abu uk. 10-15x60 cm,buah,,2500.0
287,M.287,Ubin warna 20x20 cm,buah,,2000.0
288,M.288,Ubin warna 30x30 cm,buah,,4500.0
289,M.289,Ubin warna 40x40 cm,buah,,6000.0
290,M.290,Ubin warna 60x60 cm,buah,,8000.0
291,M.291,Plint ubin warna uk. 10-15x20 cm,buah,,1500.0
292,M.292,Plint ubin warna uk. 10-15x30 cm,buah,,2000.0
293,M.293,Plint ubin warna uk. 10-15x40 cm,buah,,3000.0
294,M.294,Plint ubin warna uk. 10-15x60 cm,buah,,4500.0
295,M.295,Ubin teraso 30x30 cm,buah,,24000.0
296,M.296,Ubin teraso 40x40 cm,buah,,30000.0
297,M.297,Teraso cor,m3,,3500000.0
298,M.298,Plint ubin teraso uk. 10-15x30 cm,buah,,4000.0
299,M.299,Plint ubin teraso uk. 10-15x40 cm,buah,,6000.0
300,M.300,Homogenous tile 30x30 cm,buah,,20000.0
301,M.301,Homogenous tile 40x40 cm,buah,,30000.0
302,M.302,Homogenous tile 60x60 cm,buah,,50000.0
303,M.303,Plint homogenous tile uk. 10-15x30 cm,buah,,5000.0
304,M.304,Plint homogenous tile uk. 10-15x40 cm,buah,,7000.0
305,M.305,Plint homogenous tile uk. 10-15x60 cm,buah,,10000.0
306,M.306,Homogenous tile unpolish 30x30 cm,buah,,27000.0
307,M.307,Homogenous tile unpolish 40x40 cm,buah,,39000.0
308,M.308,Homogenous tile unpolish 60x60 cm,buah,,56000.0
309,M.309,Plint homogenous tile unpolish uk. 10-15x30 cm,buah,,7000.0
310,M.310,Plint homogenous tile unpolish uk. 10-15x40 cm,buah,,9000.0
311,M.311,Plint homogenous tile unpolish uk. 10-15x60 cm,buah,,13000.0
312,M.312,Ubin granit 30x30 cm,buah,,14200.0
313,M.313,Ubin granit 40x40 cm,buah,,20000.0
314,M.314,Ubin granit 60x60 cm,buah,,30000.0
315,M.315,Plint ubin granit uk. 10-15x30 cm,buah,,6000.0
316,M.316,Plint ubin granit uk. 10-15x40 cm,buah,,8000.0
317,M.317,Plint ubin granit uk. 10-15x60 cm,buah,,10000.0
318,M.318,Ubin teralux marmer 30x30 cm,buah,,45000.0
319,M.319,Ubin teralux marmer 40x40 cm,buah,,60000.0
320,M.320,Ubin teralux marmer 60x60 cm,buah,,70000.0
321,M.321,Plint teralux kerang uk. 10-15x30 cm,buah,,2000.0
322,M.322,Plint teralux kerang uk. 10-15x40 cm,buah,,3000.0
323,M.323,Plint teralux kerang uk. 10-15x60 cm,buah,,4000.0
324,M.324,Plint teralux marmer uk. 10-15x30 cm,buah,,2500.0
325,M.325,Plint teralux marmer uk. 10-15x40 cm,buah,,3000.0
326,M.326,Plint teralux marmer uk. 10-15x60 cm,buah,,4000.0
327,M.327,Keramik artistik 8x8 cm,buah,,1000.0
328,M.328,Keramik artistik 10x10 cm,buah,,1500.0
329,M.329,Keramik artistik 20x20 cm,buah,,2000.0
330,M.330,Keramik artistik 30x30 cm,buah,,3000.0
331,M.331,Keramik artistik 40x40 cm,buah,,4000.0
332,M.332,Plint internal cove uk. 5x5x20 cm,buah,,5000.0
333,M.333,Keramik 20x20 cm,buah,,2200.0
334,M.334,Keramik 30x30 cm,buah,,4000.0
335,M.335,Keramik 40x40 cm,buah,,8100.0
336,M.336,Keramik variasi 30x30 cm,buah,,4000.0
337,M.337,Keramik variasi 40x40 cm,buah,,8100.0
338,M.338,Plint keramik uk. 10-15x20 cm,buah,,2000.0
339,M.339,Plint keramik uk. 10-15x30 cm,buah,,3000.0
340,M.340,Plint keramik uk. 10-15x40 cm,buah,,4000.0
341,M.341,Plint keramik uk. 10-15x60 cm,buah,,5000.0
342,M.342,Step Nosing Keramik 10x60 cm,buah,,28000.0
343,M.343,Marmer,buah,,800000.0
344,M.344,Karpet,m2,,45000.0
345,M.345,Lem Karpet,kg,,75000.0
346,M.346,Underlayer karpet,m2,,10000.0
347,M.347,Parquet kayu solid,m2,,306600.0
348,M.348,Lem kayu,kg,,16400.0
349,M.349,Lantai engineering wood,m2,,200000.0
350,M.350,Kayu papan kelas I,m3,,26000000.0
351,M.351,Vinyl,buah,,7000.0
352,M.352,Lem,kg,,60000.0
353,M.353,Floor hardener,kg,,5000.0
354,M.354,UPVC decking,m2,,500000.0
355,M.355,Bubuk poles,kg,,180000.0
356,M.356,Wax,kg,,130000.0
357,M.357,Keramik Tactile 30x30 cm,buah,,37000.0
358,M.358,Keramik Tactile 40x40 cm,buah,,39500.0
359,M.359,Keramik dinding artistik 10x20 cm,buah,,2500.0
360,M.360,Keramik dinding artistik 5x20 cm,buah,,2000.0
361,M.361,Keramik dinding 10x20 cm,buah,,2000.0
362,M.362,Keramik dinding 20x20 cm,buah,,3000.0
363,M.363,Homogenous tile dinding 30x30 cm,buah,,22000.0
364,M.364,Homogenous tile dinding 40x40 cm,buah,,30000.0
365,M.365,Homogenous tile dinding 60x60 cm,buah,,35000.0
366,M.366,Porselen 11x11 cm (dus),dus,,83000.0
367,M.367,Porselen 10x20 cm,buah,,2000.0
368,M.368,Porselen 20x20 cm,buah,,4000.0
369,M.369,Bata tempel,buah,,2500.0
370,M.370,Batu paras,m2,,125000.0
371,M.371,Batu tempel hitam,m2,,121600.0
372,M.372,Wallpaper,m',,13500.0
373,M.373,Plywood 4 mm m3,m3,,6298700.0
374,M.374,Bilik Bambu,m2,,21000.0
375,M.375,Kayu kaso 5/7 kelas III,m3,,3500000.0
376,M.376,List kayu 2x4 cm,m3,,6000000.0
377,M.377,Besi siku 40x40x4 mm,kg,,15667.0
378,M.378,Lem epoxy,kg,,145000.0
379,M.379,Kayu Balok Kelas II,m3,,20000000.0
380,M.380,Paku 5 dan 7 cm,kg,,20000.0
381,M.381,Metal Hollow 20x40 mm,m',,7500.0
382,M.382,Rolling door besi,m2,,509100.0
383,M.383,Rolling door aluminium,m2,,600600.0
384,M.384,Pintu lipat PVC,m2,,750000.0
385,M.385,Profil Aluminium,m',,130000.0
386,M.386,Aluminium Strip,m',,50000.0
387,M.387,Rangka Aluminium,m',,39000.0
388,M.388,Profil Kaca tebal 6 mm,m2,,15000.0
389,M.389,Pintu panel kayu lapis timbal uk. 1x2 m,unit,,10000000.0
390,M.390,Besi siku 30x30x3 mm,kg,,13000.0
391,M.391,Pintu tahan api,unit,,8000000.0
392,M.392,Blockboard tebal 18 mm,m2,,410600.0
393,M.393,Veeneer tebal 2 mm,m2,,150000.0
394,M.394,Pintu uPVC lebar 80 cm,buah,,1043100.0
395,M.395,Pintu uPVC lebar 70 cm,buah,,730000.0
396,M.396,Jendela Nako Rangka Aluminium (rangka+kaca 5 mm),m2,,242000.0
397,M.397,Paku Sekrup 1-2 cm,buah,,1600.0
398,M.398,"Besi strip (0,2x2) cm",m',,5000.0
399,M.399,Jendela Kaca Upvc 2 daun,buah,,2000000.0
400,M.400,Skrup fixer,buah,,1600.0
401,M.401,Kayu balok 6/15 kelas I,m3,,25000000.0
402,M.402,Kayu balok 6/15 kelas II,m3,,11950000.0
403,M.403,Jalusi uPVC,m3,,49500.0
404,M.404,Kusen Bovenlight Upvc,buah,,270000.0
405,M.405,Kunci tanam antik,buah,,144300.0
406,M.406,Kunci tanam biasa,buah,,65800.0
407,M.407,Kunci tanam kamar mandi,buah,,46900.0
408,M.408,Kunci silinder,buah,,70000.0
409,M.409,Engsel pintu (kw 1),buah,,31500.0
410,M.410,Floor hinge,buah,,500000.0
411,M.411,Door closer,buah,,167500.0
412,M.412,Door holder,buah,,81000.0
413,M.413,Door stop,buah,,58500.0
414,M.414,Rel pintu dorong,buah,,243100.0
415,M.415,Venetions Blinds dan Vertical Blinds,buah,,140000.0
416,M.416,Teralis Besi Strip lengkap dengan accessories,m2,,150000.0
417,M.417,Kawat Nyamuk,m2,,20190.0
418,M.418,Besi siku 20x20 tebal 2 mm,kg,,19500.0
419,M.419,Paku 3 cm,cm,,15000.0
420,M.420,List kayu profil kelas II,kg,,5500.0
421,M.421,Grendel,bh,,15000.0
422,M.422,Engsel kupu-kupu,buah,,41700.0
423,M.423,Engsel angin,buah,,27400.0
424,M.424,Spring knip,buah,,21600.0
425,M.425,Kait angin,buah,,12000.0
426,M.426,Kunci lemari,set,,14100.0
427,M.427,Grendel tanam,buah,,150000.0
428,M.428,Hendle Jendela,buah,,58500.0
429,M.429,Sunscreen aluminium,m2,,381900.0
430,M.430,Kaca polos 3 mm,m2,,120000.0
431,M.431,Kaca polos 5 mm,m2,,198000.0
432,M.432,Kaca polos 6 mm,m2,,237000.0
433,M.433,Kaca polos 8 mm,m2,,226400.0
434,M.434,Kaca buram 12mm,m2,,317000.0
435,M.435,Kaca cermin 5 mm,m2,,221400.0
436,M.436,Kaca cermin 8 mm,m2,,796100.0
437,M.437,Kaca wireglass 5 mm,m2,,144800.0
438,M.438,Kaca patri 5 mm,m2,,1516300.0
439,M.439,Kaca laminated 8 mm,m2,,700000.0
440,M.440,Frame aluminium,m',,38333.0
441,M.441,Kaca laminated 12 mm,m2,,900000.0
442,M.442,Profil slimar aluminium,m',,60000.0
443,M.443,Jalusi aluminium,m2,,600000.0
444,M.444,Pipa besi hitam 3 inch,m',,42000.0
445,M.445,Pipa besi hitam 1 inch,m',,15500.0
446,M.446,Cat zyncromate,kg,,26000.0
447,M.447,Pipa besi hitam 2 inch,m',,31000.0
448,M.448,"Pipa besi hitam 1,5 inch",m',,22000.0
449,M.449,Tangga service,buah,,1144000.0
450,M.450,Dynabolt M12,buah,,30500.0
451,M.451,Formika,lembar,,170000.0
452,M.452,Jendela Ornamen GRC,m3,,596000.0
453,M.453,Paku Fishes,buah,,580.0
454,M.454,Logo PU Plat Baja 80x80 cm,Buah,,450000.0
455,M.455,Signage Plat Baja lengkap dengan accessories,buah,,1500000.0
456,M.456,Akrilik 4 mm,m2,,179000.0
457,M.457,Pen akrilik,buah,,7000.0
458,M.458,Cutting sticker,m2,,100000.0
459,M.459,Cat Thermoplast,kg,,29120.0
460,M.460,Glass Beads,kg,,18000.0
461,M.461,Logo PU Akrilik 40x40 cm,kg,,400000.0
462,M.462,Paku Beton 5 cm,kg,,200.0
463,M.463,Nomor Rumah Akrilik 15x30 cm,kg,,55000.0
464,M.464,Wastafel,buah,,325100.0
465,M.465,Bak cuci stainlesteel,unit,,230600.0
466,M.466,Water drain,buah,,321900.0
467,M.467,Bak cuci teraso,unit,,600000.0
468,M.468,Kloset duduk/monoblok,buah,,1490000.0
469,M.469,Flexible hose,buah,,55000.0
470,M.470,Kloset jongkok,buah,,250000.0
471,M.471,Pasangan bata 1:3,m2,,128620.0
472,M.472,Sekat kubikel,m2,,1200000.0
473,M.473,Pintu kubikel,set,,1000000.0
474,M.474,Urinoir,buah,,456800.0
475,M.475,Partisi urinoir,buah,,700000.0
476,M.476,Sealtape,buah,,5700.0
477,M.477,Bak teraso,unit,,450000.0
478,M.478,Porselen 11x11 cm,buah,,1000.0
479,M.479,Bak fiberglass 70x70x66 cm,unit,,328400.0
480,M.480,"Pipa PVC AW Ø 3/4"" (m)",m',,8750.0
481,M.481,"Stop kran PVC 3/4""",buah,,6000.0
482,M.482,Bak fiberglass 1 m3,unit,,400000.0
483,M.483,Beton 1:2:3,m3,,1325155.0
484,M.484,Kayu papan kelas III (m2),m2,,160000.0
485,M.485,Bathup,unit,,2500000.0
486,M.486,"Stop kran PVC 1/2""",buah,,4000.0
487,M.487,Floor drain stainles steel,buah,,44700.0
488,M.488,Kran air,buah,,41700.0
489,M.489,Jet washer,buah,,100000.0
490,M.490,Robe hook,unit,,70000.0
491,M.491,Towel bar,unit,,150000.0
492,M.492,Grab bar,buah,,120000.0
493,M.493,Soap holder,buah,,150000.0
